               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030476,           0.0081692,           0.0062816,             0.69776,             0.49224,             0.51601,             0.32905,            0.033686,           0.0051798,            0.028059,             0.00307,             0.00307,             0.00307
                  37,            0.030233,           0.0081232,            0.006149,             0.70566,             0.48838,             0.51716,             0.32981,            0.033676,             0.00518,            0.027994,            0.002872,            0.002872,            0.002872
                  38,             0.03009,           0.0081033,            0.006001,              0.7046,             0.48959,             0.51789,              0.3303,            0.033653,           0.0051835,            0.027932,            0.002674,            0.002674,            0.002674
                  39,             0.02987,            0.008037,           0.0057285,             0.69236,             0.49707,             0.51787,             0.33078,            0.033634,            0.005185,            0.027949,            0.002476,            0.002476,            0.002476
                  40,            0.029665,           0.0079579,           0.0054993,             0.69425,             0.49506,             0.51818,             0.33096,             0.03362,           0.0051879,            0.027966,            0.002278,            0.002278,            0.002278
                  41,            0.029431,           0.0079587,           0.0053104,             0.72198,             0.47752,             0.51821,             0.33112,            0.033617,           0.0051918,            0.028017,             0.00208,             0.00208,             0.00208
                  42,            0.029108,           0.0079455,           0.0050468,             0.72493,             0.47568,               0.518,             0.33115,             0.03361,           0.0051958,            0.028163,            0.001882,            0.001882,            0.001882
                  43,            0.028868,           0.0078477,            0.004909,             0.71791,             0.47923,             0.51765,             0.33095,            0.033605,           0.0051991,            0.028304,            0.001684,            0.001684,            0.001684
                  44,            0.028633,           0.0077723,           0.0048435,             0.71707,             0.48025,             0.51794,             0.33097,            0.033595,           0.0052028,            0.028367,            0.001486,            0.001486,            0.001486
                  45,            0.028332,           0.0077128,           0.0043555,             0.71823,             0.47939,             0.51768,             0.33103,            0.033594,           0.0052049,              0.0285,            0.001288,            0.001288,            0.001288
                  46,            0.028012,           0.0077115,           0.0041989,             0.72595,             0.47332,             0.51767,             0.33112,            0.033593,           0.0052067,            0.028651,             0.00109,             0.00109,             0.00109
                  47,            0.027817,           0.0076234,           0.0041218,             0.72775,             0.47194,             0.51726,             0.33107,            0.033602,           0.0052092,            0.028811,            0.000892,            0.000892,            0.000892
