               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028978,           0.0090484,           0.0053416,             0.75489,             0.55258,             0.58458,             0.37946,            0.033274,           0.0061699,            0.027027,             0.00307,             0.00307,             0.00307
                  37,            0.028757,           0.0090133,            0.005076,             0.77228,              0.5426,             0.58523,             0.37982,            0.033257,           0.0061713,            0.027139,            0.002872,            0.002872,            0.002872
                  38,            0.028491,           0.0089958,           0.0049688,             0.78117,             0.53708,             0.58504,             0.37975,            0.033231,           0.0061757,            0.027249,            0.002674,            0.002674,            0.002674
                  39,            0.028308,           0.0089308,            0.004831,             0.78918,              0.5322,             0.58542,                0.38,            0.033211,           0.0061766,            0.027292,            0.002476,            0.002476,            0.002476
                  40,            0.028132,           0.0088202,            0.004511,             0.77655,             0.54176,             0.58612,             0.38033,            0.033206,           0.0061794,             0.02729,            0.002278,            0.002278,            0.002278
                  41,            0.027864,           0.0088379,           0.0044615,             0.78944,             0.53409,             0.58613,             0.38027,            0.033213,           0.0061803,            0.027347,             0.00208,             0.00208,             0.00208
                  42,            0.027523,           0.0087945,           0.0040212,             0.78811,             0.53453,              0.5861,             0.38041,            0.033214,           0.0061822,             0.02742,            0.001882,            0.001882,            0.001882
                  43,             0.02737,           0.0086802,           0.0039939,             0.78029,             0.53887,             0.58637,             0.38053,            0.033208,           0.0061866,            0.027477,            0.001684,            0.001684,            0.001684
                  44,            0.027187,           0.0085985,           0.0038669,             0.78274,             0.53803,             0.58667,             0.38087,            0.033201,           0.0061905,            0.027511,            0.001486,            0.001486,            0.001486
                  45,            0.026854,           0.0085805,           0.0036235,             0.78027,             0.54119,             0.58703,             0.38109,            0.033201,           0.0061936,            0.027541,            0.001288,            0.001288,            0.001288
                  46,            0.026625,            0.008559,           0.0034579,             0.78592,             0.53757,             0.58734,             0.38131,              0.0332,           0.0061983,            0.027607,             0.00109,             0.00109,             0.00109
                  47,            0.026394,           0.0084389,           0.0033351,             0.79265,             0.53421,              0.5877,             0.38176,            0.033196,            0.006204,            0.027672,            0.000892,            0.000892,            0.000892
                  48,            0.026095,           0.0084236,            0.003225,             0.79486,             0.53383,             0.58772,             0.38185,            0.033189,           0.0062097,            0.027711,            0.000694,            0.000694,            0.000694
                  49,            0.025981,           0.0083777,           0.0031697,             0.78072,              0.5424,             0.58783,             0.38207,            0.033187,           0.0062162,            0.027784,            0.000496,            0.000496,            0.000496
